Desciption,Symbol,Direction,Change ( % )
Boeing Company (The) Common Stock,BA,down,-1.556
"Salesforce, Inc. Common Stock",CRM,down,-1.494
Microsoft Corporation - Common Stock,MSFT,down,-1.460
Honeywell International Inc. - Common Stock,HON,down,-1.318
Apple Inc. - Common Stock,AAPL,down,-1.191
McDonald's Corporation Common Stock,MCD,down,-1.140
Intel Corporation - Common Stock,INTC,down,-1.135
"Nike, Inc. Common Stock",NKE,down,-0.951
"Cisco Systems, Inc. - Common Stock",CSCO,down,-0.641
International Business Machines Corporation Common Stock,IBM,down,-0.638
"Home Depot, Inc. (The) Common Stock",HD,up,2.761
"Goldman Sachs Group, Inc. (The) Common Stock",GS,up,2.305
JP Morgan Chase & Co. Common Stock,JPM,up,1.831
Chevron Corporation Common Stock,CVX,up,1.694
UnitedHealth Group Incorporated Common Stock (DE),UNH,up,1.678
Verizon Communications Inc. Common Stock,VZ,up,1.633
"The Travelers Companies, Inc. Common Stock",TRV,up,1.521
"Merck & Company, Inc. Common Stock (new)",MRK,up,1.014
Procter & Gamble Company (The) Common Stock,PG,up,0.781
American Express Company Common Stock,AXP,up,0.718
"Enphase Energy, Inc. - Common Stock",ENPH,down,-5.707
"Monolithic Power Systems, Inc. - Common Stock",MPWR,down,-5.666
NVIDIA Corporation - Common Stock,NVDA,down,-4.499
"SolarEdge Technologies, Inc. - Common Stock",SEDG,down,-4.239
"Twitter, Inc. Common Stock",TWTR,down,-3.748
"Etsy, Inc. - Common Stock",ETSY,down,-3.613
HP Inc. Common Stock,HPQ,down,-3.570
KLA Corporation  - Common Stock,KLAC,down,-3.362
Generac Holdlings Inc. Common Stock,GNRC,down,-3.216
NXP Semiconductors N.V. - Common Stock,NXPI,down,-3.134
"EPAM Systems, Inc. Common Stock",EPAM,up,10.132
Coterra Energy Inc. Common Stock,CTRA,up,7.316
Occidental Petroleum Corporation Common Stock,OXY,up,7.143
DISH Network Corporation - Class A Common Stock,DISH,up,6.417
"Discovery, Inc. - Series A Common Stock",DISCA,up,5.895
"Discovery, Inc. - Series C Common Stock",DISCK,up,5.806
Halliburton Company Common Stock,HAL,up,5.801
"EOG Resources, Inc. Common Stock",EOG,up,5.190
Constellation Energy Corporation - Common Stock,CEG,up,5.106
APA Corporation - Common Stock,APA,up,4.927
"C4 Therapeutics, Inc. - Common Stock",CCCC,down,-50.568
"BioCryst Pharmaceuticals, Inc. - Common Stock",BCRX,down,-37.808
Integrated Media Technology Limited - Ordinary Shares,IMTE,down,-37.605
Sunshine Biopharma Inc. - Common stock,SBFM,down,-37.513
Singularity Future Technology Ltd. - Common Stock,SGLY,down,-36.047
"Zentalis Pharmaceuticals, Inc. - common stock",ZNTL,down,-30.016
"Rubius Therapeutics, Inc. - Common Stock",RUBY,down,-14.676
"Shoals Technologies Group, Inc. - Class A Common Stock",SHLS,down,-13.931
"Rackspace Technology, Inc. - Common Stock",RXT,down,-13.242
I-MAB - American Depositary Shares,IMAB,down,-11.382
Bicycle Therapeutics plc - American Depositary Shares,BCYC,up,24.543
Biofrontera Inc. - Common Stock,BFRI,up,24.010
"Nurix Therapeutics, Inc. - Common stock",NRIX,up,11.765
"SunOpta, Inc. - Common Stock",STKL,up,9.982
Gladstone Land Corporation - Common Stock,LAND,up,8.728
Berry Corporation (bry) - Common Stock,BRY,up,8.692
Grindrod Shipping Holdings Ltd. - Ordinary Shares,GRIN,up,7.556
Falcon Minerals Corporation - Class A Common Stock,FLMN,up,7.450
"Conn's, Inc. - Common Stock",CONN,up,7.328
Conduent Incorporated - Common Stock,CNDT,up,7.249
