description,Exchange,Beta,P/E Ratio,High-52,Low-52,Market Cap,Market Cap Float
Boeing Company (The) Common Stock,NYSE,1.4157,0.0,258.3957,167.58,105070.8,589.8143
"Salesforce, Inc. Common Stock",NYSE,1.10195,133.3333,311.75,184.44,198158.4,956.4145
Microsoft Corporation - Common Stock,NASDAQ,0.91429,32.06354,349.67,238.07,2259331.0,7481.118
Honeywell International Inc. - Common Stock,NASDAQ,1.12429,24.35362,236.86,174.42,132092.3,684.8431
Apple Inc. - Common Stock,NASDAQ,1.19092,28.57926,182.94,122.25,2809229.0,16308.0
McDonald's Corporation Common Stock,NYSE,0.60754,25.34726,271.15,217.675,189138.2,739.52
Intel Corporation - Common Stock,NASDAQ,0.55547,9.78776,68.49,43.625,194458.4,4085.182
"Nike, Inc. Common Stock",NYSE,0.96441,34.1879,179.1,116.75,203614.0,1260.823
"Cisco Systems, Inc. - Common Stock",NASDAQ,0.94862,19.54044,64.285,50.1,226942.2,4151.281
International Business Machines Corporation Common Stock,NYSE,1.09334,24.71531,145.9873,114.56,115606.3,898.5569
"Home Depot, Inc. (The) Common Stock",NYSE,1.04214,19.51065,420.61,293.5901,312851.5,1032.618
"Goldman Sachs Group, Inc. (The) Common Stock",NYSE,1.45788,5.29306,426.1582,308.2,106159.1,336.1528
JP Morgan Chase & Co. Common Stock,NYSE,1.09843,8.54323,172.96,127.27,385374.5,2912.865
Chevron Corporation Common Stock,NYSE,1.12787,20.54153,174.76,92.86,325436.2,1946.841
UnitedHealth Group Incorporated Common Stock (DE),NYSE,0.86926,29.69905,538.28,360.55,505215.8,935.6622
Verizon Communications Inc. Common Stock,NYSE,0.35999,9.90352,59.85,49.685,221214.0,4199.199
"The Travelers Companies, Inc. Common Stock",NYSE,0.70813,12.52977,187.98,144.44,43974.87,240.7463
"Merck & Company, Inc. Common Stock (new)",NYSE,0.45332,17.83791,91.4,15.32,219461.0,2526.247
Procter & Gamble Company (The) Common Stock,NYSE,0.43502,28.07547,165.35,130.295,380797.8,2394.43
American Express Company Common Stock,NYSE,1.09795,18.25079,199.55,140.68,138121.9,756.3354
"Enphase Energy, Inc. - Common Stock",NASDAQ,1.2568,203.1611,282.46,108.88,27717.97,130.762
"Monolithic Power Systems, Inc. - Common Stock",NASDAQ,0.93586,86.38605,580.0,301.53,20292.34,45.40175
NVIDIA Corporation - Common Stock,NASDAQ,1.44479,62.95658,346.47,134.59,607620.8,2408.154
"SolarEdge Technologies, Inc. - Common Stock",NASDAQ,0.96334,102.8716,389.71,199.33,17358.52,54.57688
"Twitter, Inc. Common Stock",NYSE,0.76045,0.0,73.34,31.3,38454.8,780.1086
