description,Open Price,Bid Price,Ask Price,Net % Change (decimal),Market % change (decimal)
Boeing Company (The) Common Stock,176.54,175.01,175.18,-1.5677,-1.5677
"Salesforce, Inc. Common Stock",198.64,197.17,197.72,-1.219,-1.4938
Microsoft Corporation - Common Stock,300.44,296.8,296.9,-1.4832,-1.4832
Honeywell International Inc. - Common Stock,193.0,190.16,191.9,-1.3181,-1.3181
Apple Inc. - Common Stock,171.78,169.97,169.98,-1.2548,-1.2548
McDonald's Corporation Common Stock,253.04,251.1,251.46,-1.2423,-1.1401
Intel Corporation - Common Stock,47.28,47.02,47.05,-1.0723,-1.1354
"Nike, Inc. Common Stock",129.44,127.8,128.15,-0.9507,-0.9507
"Cisco Systems, Inc. - Common Stock",54.84,54.28,54.3,-0.6224,-0.6407
International Business Machines Corporation Common Stock,128.01,127.6,127.99,-0.6379,-0.6379
"Home Depot, Inc. (The) Common Stock",301.46,310.5,311.08,2.6854,2.7514
"Goldman Sachs Group, Inc. (The) Common Stock",313.58,321.45,321.99,2.3237,2.3237
JP Morgan Chase & Co. Common Stock,131.67,133.49,133.68,1.9147,1.8308
Chevron Corporation Common Stock,167.05,169.9,169.99,1.7295,1.6936
UnitedHealth Group Incorporated Common Stock (DE),539.0,545.0,545.96,1.678,1.678
Verizon Communications Inc. Common Stock,52.73,53.53,53.58,1.6328,1.6328
"The Travelers Companies, Inc. Common Stock",183.74,181.94,186.65,1.6036,1.5212
"Merck & Company, Inc. Common Stock (new)",86.64,87.42,87.78,0.7143,1.0138
Procter & Gamble Company (The) Common Stock,159.7,160.1,160.18,0.7806,0.7806
American Express Company Common Stock,183.0,183.4,183.99,0.7182,0.7182
"Enphase Energy, Inc. - Common Stock",204.0,194.51,195.5,-5.8951,-5.7067
"Monolithic Power Systems, Inc. - Common Stock",430.09,390.0,528.0,-5.4113,-5.6657
NVIDIA Corporation - Common Stock,239.17,230.3,230.4,-4.8249,-4.8249
"SolarEdge Technologies, Inc. - Common Stock",312.93,298.0,309.99,-4.239,-4.239
"Twitter, Inc. Common Stock",47.3,46.29,46.3,-3.6852,-3.6227
"Etsy, Inc. - Common Stock",120.18,116.25,117.8,-3.6048,-3.6131
HP Inc. Common Stock,39.11,38.55,38.75,-3.2951,-3.5696
KLA Corporation  - Common Stock,349.55,341.0,351.96,-3.3618,-3.3618
Generac Holdlings Inc. Common Stock,296.16,286.0,287.5,-3.2193,-3.2159
NXP Semiconductors N.V. - Common Stock,170.52,167.0,167.63,-3.1344,-3.1344
"EPAM Systems, Inc. Common Stock",283.56,308.8,309.99,10.1716,10.1716
Coterra Energy Inc. Common Stock,27.18,28.75,28.9,7.9134,7.3162
Occidental Petroleum Corporation Common Stock,57.7,61.83,61.87,7.1949,7.1949
DISH Network Corporation - Class A Common Stock,30.51,32.1,32.4,6.614,6.4166
"Discovery, Inc. - Series A Common Stock",23.07,24.25,24.42,5.8513,5.8518
"Discovery, Inc. - Series C Common Stock",23.15,23.55,24.9,5.7192,5.8059
Halliburton Company Common Stock,38.19,39.93,39.98,5.7748,5.8013
"EOG Resources, Inc. Common Stock",122.0,126.88,127.0,5.281,5.1899
Constellation Energy Corporation - Common Stock,61.22,64.0,66.0,6.9118,5.1059
APA Corporation - Common Stock,41.37,42.95,43.02,4.7805,4.9268
"C4 Therapeutics, Inc. - Common Stock",22.63,11.4,11.48,-49.869,-50.2183
"BioCryst Pharmaceuticals, Inc. - Common Stock",13.97,11.19,11.2,-37.3602,-37.4161
Integrated Media Technology Limited - Ordinary Shares,13.27,8.13,8.48,-35.3166,-37.6049
Sunshine Biopharma Inc. - Common stock,7.48,5.94,5.95,-38.342,-38.342
Singularity Future Technology Ltd. - Common Stock,19.69,12.5,13.3,-32.7604,-36.0465
"Zentalis Pharmaceuticals, Inc. - common stock",48.22,35.0,35.65,-26.5554,-27.8945
"Rubius Therapeutics, Inc. - Common Stock",5.93,3.22,3.23,-45.0495,-45.0512
"Shoals Technologies Group, Inc. - Class A Common Stock",14.12,13.1,13.65,-13.3588,-13.9313
"Rackspace Technology, Inc. - Common Stock",10.32,9.42,9.71,-11.8721,-13.242
I-MAB - American Depositary Shares,16.07,14.03,14.87,-7.0044,-11.3821
Bicycle Therapeutics plc - American Depositary Shares,37.42,47.43,50.0,27.8293,25.709
Biofrontera Inc. - Common Stock,4.8,4.29,4.3,5.9406,6.4356
"Nurix Therapeutics, Inc. - Common stock",13.31,14.3,15.47,15.46,11.7647
"SunOpta, Inc. - Common Stock",5.42,5.94,5.99,9.9815,9.9815
Gladstone Land Corporation - Common Stock,37.44,40.29,40.93,9.9946,8.7285
Berry Corporation (bry) - Common Stock,11.47,11.73,12.42,8.9552,8.6918
Grindrod Shipping Holdings Ltd. - Ordinary Shares,23.29,23.57,26.33,9.0242,7.5561
Falcon Minerals Corporation - Class A Common Stock,7.03,7.26,7.5,7.4499,7.4499
"Conn's, Inc. - Common Stock",15.33,16.01,16.99,7.3281,7.3281
Conduent Incorporated - Common Stock,5.35,4.77,5.89,2.974,7.2491
