ticker: ['$DJI']
Day,Open,Close,High,Low,Volume
0,36175.21,36068.87,36175.21,35639.91,440304750
1,36058.85,36252.02,36271.47,35769.38,363192772
2,36336.16,36290.32,36453.49,36168.15,317858590
3,36312.49,36113.62,36513.88,36044.22,349737970
4,35996.43,35911.81,35996.43,35641.49,396471650
5,35661.76,35368.47,35661.76,35262.02,427260000
6,35412.3,35028.65,35547.83,35015.49,393081760
7,35102.66,34715.39,35490.2,34670.12,369073440
8,34701.69,34265.37,34896.67,34229.55,523884780
9,34070.61,34364.5,34420.99,33150.33,678120780
10,34186.64,34297.73,34591.04,33545.52,522186100
11,34520.82,34168.09,34815.67,33876.48,549307870
12,34261.75,34160.78,34773.32,34007.78,527779830
13,34135.24,34725.47,34731.77,33807.51,568439070
14,34691.17,35131.86,35148.14,34496.1,474442560
15,35151.47,35405.24,35441.09,34977.95,394897700
16,35378.19,35629.33,35679.2,35290.12,364057670
17,35520.08,35111.16,35535.94,35071.06,390175590
18,35095.74,35089.74,35333.55,34799.08,349880610
19,35108.38,35091.13,35325.01,34993.98,328911330
20,35160.68,35462.78,35544.89,35090.42,333936180
21,35614.9,35768.06,35824.28,35614.9,339611540
22,35630.81,35241.59,35800.24,35100.72,416709630
23,35267.89,34738.06,35431.15,34620.52,410404480
24,34694.5,34566.17,34744.56,34304.28,373410420
25,34686.19,34988.84,35047.79,34686.19,305666650
26,34951.83,34934.27,35042.09,34642.64,309361490
27,34858.47,34312.03,34858.47,34246.23,351847740
28,34310.45,34079.18,34423.58,33976.18,414076500
29,33974.09,33596.61,34024.74,33364.29,438315870
30,33680.97,33131.76,33832.59,33084.9,376494280
31,32830.33,33223.83,33269.34,32272.64,593186410
32,33277.22,34058.75,34095.74,33277.22,421167840
33,33870.62,33892.6,33963.63,33469.31,451814440
34,33813.48,33294.95,33870.14,33107.67,442312710
35,33379.51,33891.35,34013.67,33379.51,402813900
36,33972.87,33794.66,34179.07,33641.53,369873270
37,33655.43,33614.8,33655.43,33254.12,412932740
38,33579.75,32817.38,33579.75,32806.15,493671720
39,32885.17,32632.64,33402.98,32578.73,553748230
40,32860.42,33286.25,33457.28,32860.42,421550880
41,33106.77,33174.07,33236.59,32819.76,399476670
42,33279.72,32944.19,33515.61,32911.89,369478640
43,33000.37,32945.24,33395.59,32818.16,401146500
44,32989.27,33544.34,33620.84,32989.27,394820450
45,33653.93,34063.1,34075.94,33391.24,430180030
46,33995.39,34480.76,34483.92,33896.06,339473780
47,34466.72,34754.93,34755.2,34279.83,627893610
48,34669.85,34552.99,34808.28,34341.81,408489040
49,34583.24,34807.46,34882.03,34583.24,368547980
50,34748.84,34358.5,34748.84,34352.96,349592670
51,34406.81,34707.94,34713.56,34355.42,324865720
52,34702.39,34861.24,34942.7,34631.52,287067520
53,34833.03,34955.89,34957.93,34552.23,302859610
54,35114.35,35294.19,35372.26,35030.07,355051940
55,35273.63,35228.81,35361.36,35058.58,324668010
56,35201.52,34678.35,35201.52,34677.99,438355530
57,34740.89,34818.27,34847.91,34538.25,346813590
58,34799.98,34921.88,34940.78,34615.38,317557950
59,34876.33,34641.18,35112.21,34566.04,308983290
60,34520.34,34496.51,34609.84,34277.17,386247180
61,34439.24,34583.57,34705.83,34190.95,324812080
62,34569.24,34721.12,34908.46,34470.19,306295260
