ticker: ['AAPL', 'TSLA', 'BA']
Day,Open,Close,High,Low,Volume,SYM
0,169.08,172.19,172.5,168.17,106765552,$AAPL
1,172.32,175.08,175.18,170.82,76138312,$AAPL
2,176.12,175.53,177.18,174.82,74805173,$AAPL
3,175.78,172.19,176.62,171.79,84505760,$AAPL
4,171.34,173.07,173.78,171.09,80440780,$AAPL
5,171.51,169.8,172.54,169.405,91168729,$AAPL
6,170.0,166.23,171.08,165.94,94814990,$AAPL
7,166.98,164.51,169.68,164.18,91420515,$AAPL
8,164.415,162.41,166.33,162.3,122848858,$AAPL
9,160.02,161.62,162.3,154.7,162706690,$AAPL
10,158.98,159.78,162.76,157.02,115798367,$AAPL
11,163.5,159.69,164.3894,157.82,108275308,$AAPL
12,162.45,159.22,163.84,158.28,121954638,$AAPL
13,165.71,170.33,170.35,162.8,179935660,$AAPL
14,170.16,174.78,175.0,169.51,115541590,$AAPL
15,174.01,174.61,174.84,172.31,86213911,$AAPL
16,174.745,175.84,175.88,173.33,84914256,$AAPL
17,174.48,172.9,176.2399,172.12,89418074,$AAPL
18,171.68,172.39,174.1,170.68,82465400,$AAPL
19,172.86,171.66,173.9458,170.95,77251204,$AAPL
20,171.73,174.83,175.35,171.43,74829217,$AAPL
21,176.05,176.28,176.65,174.9,71285038,$AAPL
22,174.14,172.12,175.48,171.55,90865899,$AAPL
23,172.33,168.64,173.08,168.04,98670687,$AAPL
24,167.37,168.88,169.58,166.56,86185530,$AAPL
25,170.97,172.79,172.95,170.25,64286320,$AAPL
26,171.85,172.55,173.34,170.05,61177398,$AAPL
27,171.03,168.88,171.91,168.47,69589344,$AAPL
28,169.82,167.3,170.5413,166.19,82772674,$AAPL
29,164.98,164.32,166.69,162.15,91162758,$AAPL
30,165.54,160.07,166.15,159.75,90009247,$AAPL
31,152.58,162.74,162.85,152.0,141147540,$AAPL
32,163.84,164.85,165.12,160.8738,91974222,$AAPL
33,163.06,165.12,165.42,162.43,95056629,$AAPL
34,164.695,163.2,166.6,161.97,83474425,$AAPL
35,164.39,166.56,167.36,162.95,79724750,$AAPL
36,168.47,166.23,168.91,165.55,76678441,$AAPL
37,164.49,163.17,165.55,162.1,83819592,$AAPL
38,163.36,159.3,165.02,159.04,96418845,$AAPL
39,158.82,157.44,162.88,155.8,131148280,$AAPL
40,161.475,162.95,163.41,159.41,91454905,$AAPL
41,160.2,158.52,160.39,155.98,105342033,$AAPL
42,158.93,154.73,159.28,154.5,96970102,$AAPL
43,151.45,150.62,154.12,150.1,108732111,$AAPL
44,150.9,155.09,155.57,150.38,92964302,$AAPL
45,157.05,159.59,160.0,154.46,102300157,$AAPL
46,158.61,160.62,161.0,157.63,75615376,$AAPL
47,160.51,163.98,164.48,159.76,123511692,$AAPL
48,163.51,165.38,166.35,163.015,95811352,$AAPL
49,165.51,168.82,169.42,164.91,81532007,$AAPL
50,167.99,170.21,172.64,167.65,98062674,$AAPL
51,171.06,174.07,174.14,170.21,90131418,$AAPL
52,173.88,174.72,175.28,172.75,80546156,$AAPL
53,172.17,175.6,175.73,172.0,90371916,$AAPL
54,176.69,178.96,179.01,176.34,100589440,$AAPL
55,178.55,177.77,179.61,176.7,92633154,$AAPL
56,177.84,174.61,178.03,174.4,103049285,$AAPL
57,174.03,174.31,174.88,171.94,78751328,$AAPL
58,174.57,178.44,178.49,174.44,76545983,$AAPL
59,177.5,175.06,178.3,174.415,73401786,$AAPL
60,172.36,171.83,173.63,170.13,89058782,$AAPL
61,171.16,172.14,173.36,169.85,77594650,$AAPL
62,171.78,170.09,171.78,169.2,76575508,$AAPL
63,1000.0,1058.12,1059.1,980.0,30604959,$TSLA
64,1053.67,1064.4,1075.85,1038.82,22021070,$TSLA
65,1078.85,1106.22,1114.84,1072.5901,27913005,$TSLA
66,1109.065,1031.56,1115.6,1026.5391,32403264,$TSLA
67,1019.88,1049.61,1052.0,1013.3788,24308137,$TSLA
68,1026.605,1030.51,1070.7899,1016.06,22329803,$TSLA
69,1041.705,995.65,1054.6699,995.0,25147496,$TSLA
70,1009.73,996.27,1041.66,994.0,23496248,$TSLA
71,996.34,943.9,1004.55,940.5,34472009,$TSLA
72,904.76,930.0,933.5131,851.47,50791714,$TSLA
73,914.2,918.4,951.26,903.21,28865302,$TSLA
74,952.43,937.41,987.69,906.0,34955761,$TSLA
75,933.36,829.1,935.39,829.0,49036523,$TSLA
76,831.56,846.35,857.5,792.01,44929650,$TSLA
77,872.71,936.72,937.99,862.05,34812032,$TSLA
78,935.21,931.25,943.7,905.0,24379446,$TSLA
79,928.18,905.66,931.5,889.41,22264345,$TSLA
80,882.0,891.14,937.0,880.52,26285186,$TSLA
81,897.22,923.32,936.5,881.17,24541822,$TSLA
82,923.79,907.34,947.77,902.7089,20331488,$TSLA
83,905.53,922.0,926.2899,894.8,16909671,$TSLA
84,935.0,932.0,946.2699,920.0,17419848,$TSLA
85,908.37,904.55,943.81,896.7,22042277,$TSLA
86,909.63,860.0,915.96,850.7,26548623,$TSLA
87,861.57,875.76,898.8799,853.15,22585472,$TSLA
88,900.0,922.43,923.0,893.3774,19216514,$TSLA
89,914.05,923.39,926.4299,901.21,17098132,$TSLA
90,913.26,876.35,918.4999,874.1,18392806,$TSLA
91,886.0,856.98,886.87,837.61,22833947,$TSLA
92,834.13,821.53,856.7338,801.1001,27762734,$TSLA
93,830.43,764.04,835.2997,760.56,31752336,$TSLA
94,700.39,800.77,802.48,700.0,45107425,$TSLA
95,809.23,809.87,819.5,782.4005,25355921,$TSLA
96,815.01,870.43,876.86,814.7075,33002289,$TSLA
97,869.68,864.37,889.88,853.78,24922287,$TSLA
98,872.13,879.89,886.48,844.2721,24881146,$TSLA
99,878.77,839.29,886.439,832.6001,20541169,$TSLA
100,849.1,838.29,855.65,825.1609,22393287,$TSLA
101,856.3,804.58,866.14,804.57,24164724,$TSLA
102,795.53,824.4,849.99,782.17,26799702,$TSLA
103,839.48,858.97,860.56,832.01,19727993,$TSLA
104,851.45,838.3,854.45,810.3601,19549548,$TSLA
105,840.197,795.35,843.802,793.77,22345722,$TSLA
106,780.61,766.37,800.7,756.04,23717421,$TSLA
107,775.27,801.89,805.57,756.57,22280381,$TSLA
108,809.0,840.23,842.0,802.2601,28009607,$TSLA
109,830.99,871.6,875.0,825.7178,22194324,$TSLA
110,874.49,905.39,907.85,867.39,33471397,$TSLA
111,914.98,921.16,942.85,907.09,27327216,$TSLA
112,930.0,993.98,997.86,921.75,35289519,$TSLA
113,979.94,999.11,1040.7,976.4,40225383,$TSLA
114,1009.73,1013.92,1024.49,988.8,22973626,$TSLA
115,1008.0,1010.64,1021.7999,997.3201,20677182,$TSLA
116,1065.1,1091.84,1097.8799,1053.6,34168693,$TSLA
117,1107.99,1099.57,1114.77,1073.11,24538273,$TSLA
118,1091.17,1093.99,1113.95,1084.0,19955002,$TSLA
119,1094.57,1077.6,1103.1399,1076.641,16330919,$TSLA
120,1081.15,1084.59,1094.75,1066.64,18087741,$TSLA
121,1089.38,1145.45,1149.91,1072.53,27392567,$TSLA
122,1136.3,1091.26,1152.87,1087.3,26691673,$TSLA
123,1073.47,1045.76,1079.0,1027.7,29782845,$TSLA
124,1052.39,1057.26,1076.59,1021.5401,26482353,$TSLA
125,1043.21,1025.49,1048.44,1022.435,18337896,$TSLA
126,214.26,209.31,215.28,207.13,8229019,$BA
127,209.0,216.02,217.03,208.41,8098367,$BA
128,217.09,217.45,221.24,216.3,9134501,$BA
129,222.25,223.9,226.89,220.05,17628012,$BA
130,222.16,225.96,226.2,220.25,8053460,$BA
131,224.5,225.01,229.67,224.26,8947332,$BA
132,225.1,217.08,225.42,216.94,9382827,$BA
133,217.38,214.19,221.95,213.42,7636803,$BA
134,213.79,205.44,213.79,204.57,11548497,$BA
135,199.85,204.2,204.8,192.51,13810337,$BA
136,200.1,204.1,205.63,197.5501,8824460,$BA
137,206.214,194.27,206.214,191.92,19974396,$BA
138,196.38,189.75,199.7073,188.64,12670070,$BA
139,188.78,190.57,190.72,183.77,10966711,$BA
140,190.73,200.24,200.34,190.0,15504556,$BA
141,202.48,208.34,208.89,200.495,12265145,$BA
142,205.43,207.52,208.3857,203.21,7843739,$BA
143,206.06,206.39,209.1,204.26,7054722,$BA
144,205.0,206.45,208.25,203.1,5952563,$BA
145,205.79,211.92,214.37,205.42,11816911,$BA
146,212.68,213.27,213.87,209.69,7356230,$BA
147,214.91,215.86,217.04,213.3004,7587730,$BA
148,213.71,218.75,223.23,213.695,11695860,$BA
149,217.87,212.3,221.42,210.27,11443738,$BA
150,213.0,210.04,215.63,208.76,6481404,$BA
151,214.84,217.73,219.5394,213.69,10461008,$BA
152,216.1,218.93,219.68,215.28,5698917,$BA
153,218.47,213.58,218.5799,212.67,6176575,$BA
154,212.56,209.03,214.7288,208.6,6973602,$BA
155,205.0,198.74,206.9,197.82,10382141,$BA
156,201.13,196.42,203.2499,195.91,7326312,$BA
157,189.29,198.43,198.855,186.88,12207625,$BA
158,201.09,201.48,204.07,199.1006,8730302,$BA
159,198.58,205.34,207.31,196.75,9859273,$BA
160,203.11,194.91,203.5,192.93,11799494,$BA
161,196.27,197.81,199.85,194.6413,7463406,$BA
162,197.94,188.85,198.5,188.71,12424491,$BA
163,187.37,180.84,188.3203,178.97,13104580,$BA
164,181.03,169.17,182.72,169.06,12847456,$BA
165,169.73,173.8,180.82,167.58,13715459,$BA
166,179.8,178.56,182.87,177.41,10062148,$BA
167,175.76,178.39,182.02,175.39,8364100,$BA
168,183.59,176.23,184.86,175.95,9373598,$BA
169,175.88,175.52,178.2289,172.57,8138882,$BA
170,176.3,179.89,180.5,175.6,8051498,$BA
171,183.39,188.99,189.6,182.3,12077525,$BA
172,186.36,190.19,190.24,185.27,8126616,$BA
173,192.07,192.83,193.38,190.1,12849575,$BA
174,184.4,185.9,187.265,180.61,27369582,$BA
175,185.24,191.04,192.8629,184.52,14378472,$BA
176,189.67,186.04,190.16,185.03,8297782,$BA
177,186.35,189.05,189.19,184.72,7094360,$BA
178,187.76,188.95,191.7,186.93,6370952,$BA
179,188.43,188.16,189.26,184.47,6904146,$BA
180,191.62,193.8,196.36,191.2,8438704,$BA
181,192.32,194.91,197.45,191.36,9959326,$BA
182,195.0,191.5,197.5799,191.45,6447933,$BA
183,192.58,190.76,192.616,188.78,4862109,$BA
184,190.02,191.18,191.8448,186.91,7799600,$BA
185,189.7,182.65,192.35,182.52,9371632,$BA
186,180.4,178.72,180.57,176.5802,8173868,$BA
187,178.13,177.97,178.66,173.87,7517791,$BA
188,176.54,175.2,178.13,174.24,6524064,$BA
---,---,---,---,---,--,---,---
