ticker: ['VERU']
Day,Open,Close,High,Low,Volume,SYM,Date
0,5.68,5.34,5.81,5.11,3434211,$VERU,01/10/22-2022
1,5.51,6.41,6.66,5.51,9134342,$VERU,01/11/22-2022
2,6.41,6.09,6.53,6.07,1992368,$VERU,01/12/22-2022
3,6.14,5.89,6.27,5.84,1223014,$VERU,01/13/22-2022
4,5.86,5.89,5.95,5.67,1009517,$VERU,01/14/22-2022
5,5.8,5.52,5.85,5.51,960887,$VERU,01/18/22-2022
6,5.56,5.31,5.614,5.3,817749,$VERU,01/19/22-2022
7,5.39,5.21,5.51,5.19,735213,$VERU,01/20/22-2022
8,5.08,4.9,5.17,4.88,2487803,$VERU,01/21/22-2022
9,4.74,4.94,4.95,4.4701,1724107,$VERU,01/24/22-2022
10,4.85,4.81,4.905,4.65,871316,$VERU,01/25/22-2022
11,4.98,4.69,4.9959,4.63,846385,$VERU,01/26/22-2022
12,4.77,4.55,4.9,4.52,718225,$VERU,01/27/22-2022
13,4.56,4.74,4.76,4.37,1417864,$VERU,01/28/22-2022
14,4.82,5.2,5.2415,4.82,1863530,$VERU,01/31/22-2022
15,5.315,5.53,5.58,5.16,2141308,$VERU,02/01/22-2022
16,5.53,5.3,5.53,5.125,1115012,$VERU,02/02/22-2022
17,5.11,5.18,5.31,5.08,856710,$VERU,02/03/22-2022
18,5.17,5.33,5.3869,5.07,756609,$VERU,02/04/22-2022
19,5.32,5.495,5.5199,5.27,850831,$VERU,02/07/22-2022
20,5.44,5.65,5.65,5.36,893307,$VERU,02/08/22-2022
21,5.6,6.0,6.16,5.55,1604763,$VERU,02/09/22-2022
22,5.83,6.18,6.52,5.77,1918352,$VERU,02/10/22-2022
23,6.18,6.36,6.55,6.1762,1805087,$VERU,02/11/22-2022
24,6.33,6.07,6.65,6.03,1383493,$VERU,02/14/22-2022
25,6.25,6.27,6.39,6.15,757729,$VERU,02/15/22-2022
26,6.24,6.28,6.34,6.1273,636512,$VERU,02/16/22-2022
27,6.22,6.01,6.275,5.93,723112,$VERU,02/17/22-2022
28,5.96,5.69,6.03,5.67,946478,$VERU,02/18/22-2022
29,5.64,5.42,5.64,5.345,949971,$VERU,02/22/22-2022
30,5.535,5.32,5.62,5.3,640976,$VERU,02/23/22-2022
31,4.93,5.77,5.79,4.901,1184392,$VERU,02/24/22-2022
32,5.81,5.76,5.82,5.6,598693,$VERU,02/25/22-2022
33,5.752,5.59,5.8,5.5,789667,$VERU,02/28/22-2022
34,5.59,5.56,5.66,5.4299,571746,$VERU,03/01/22-2022
35,5.58,5.63,5.7,5.4501,414581,$VERU,03/02/22-2022
36,5.66,5.45,5.66,5.385,400714,$VERU,03/03/22-2022
37,5.36,5.26,5.51,5.19,430779,$VERU,03/04/22-2022
38,5.27,5.09,5.32,5.06,632297,$VERU,03/07/22-2022
39,5.07,5.14,5.33,4.98,526559,$VERU,03/08/22-2022
40,5.28,5.4,5.51,5.26,440100,$VERU,03/09/22-2022
41,5.26,5.42,5.435,5.18,370311,$VERU,03/10/22-2022
42,5.44,5.15,5.44,5.13,519601,$VERU,03/11/22-2022
43,5.12,4.82,5.14,4.76,823183,$VERU,03/14/22-2022
44,4.82,4.79,4.95,4.715,755956,$VERU,03/15/22-2022
45,4.86,4.99,5.0,4.785,886883,$VERU,03/16/22-2022
46,4.91,5.01,5.125,4.87,1690431,$VERU,03/17/22-2022
47,4.96,5.33,5.43,4.9492,1640437,$VERU,03/18/22-2022
48,5.3,5.08,5.35,5.0,539958,$VERU,03/21/22-2022
49,5.12,5.3,5.34,5.115,585740,$VERU,03/22/22-2022
50,5.23,5.26,5.47,5.2299,492545,$VERU,03/23/22-2022
51,5.27,5.27,5.295,5.11,404058,$VERU,03/24/22-2022
52,5.28,5.08,5.38,5.047,463801,$VERU,03/25/22-2022
53,5.07,5.16,5.18,4.87,690382,$VERU,03/28/22-2022
54,5.27,5.18,5.36,5.15,584276,$VERU,03/29/22-2022
55,5.16,4.96,5.19,4.925,548068,$VERU,03/30/22-2022
56,4.96,4.83,5.04,4.81,553219,$VERU,03/31/22-2022
57,4.85,4.85,4.9018,4.75,521748,$VERU,04/01/22-2022
58,4.9,5.04,5.06,4.85,435347,$VERU,04/04/22-2022
59,5.01,4.79,5.06,4.77,443516,$VERU,04/05/22-2022
60,4.72,4.61,4.75,4.53,762122,$VERU,04/06/22-2022
61,4.58,4.54,4.665,4.465,408824,$VERU,04/07/22-2022
62,4.52,4.35,4.55,4.34,554452,$VERU,04/08/22-2022
---,---,---,---,---,--,---,---,----
