Desciption,Symbol,Direction,Change ( % )
"Cisco Systems, Inc. - Common Stock",CSCO,down,-2.430
Visa Inc.,V,down,-1.690
JP Morgan Chase & Co. Common Stock,JPM,down,-1.571
Microsoft Corporation - Common Stock,MSFT,down,-1.532
American Express Company Common Stock,AXP,down,-1.459
"Merck & Company, Inc. Common Stock (new)",MRK,down,-1.195
3M Company Common Stock,MMM,down,-1.032
UnitedHealth Group Incorporated Common Stock (DE),UNH,down,-0.835
Amgen Inc. - Common Stock,AMGN,down,-0.797
"Goldman Sachs Group, Inc. (The) Common Stock",GS,down,-0.722
Chevron Corporation Common Stock,CVX,up,2.042
Dow Inc. Common Stock,DOW,up,1.404
Coca-Cola Company (The) Common Stock,KO,up,1.170
Apple Inc. - Common Stock,AAPL,up,0.682
Honeywell International Inc. - Common Stock,HON,up,0.634
Boeing Company (The) Common Stock,BA,up,0.349
"Caterpillar, Inc. Common Stock",CAT,up,0.079
CarMax Inc,KMX,down,-7.938
"Catalent, Inc. Common Stock",CTLT,down,-6.796
"Twitter, Inc. Common Stock",TWTR,down,-4.866
"Bio-Rad Laboratories, Inc. Class A Common Stock",BIO,down,-4.738
Generac Holdlings Inc. Common Stock,GNRC,down,-4.593
"Etsy, Inc. - Common Stock",ETSY,down,-4.393
"Agilent Technologies, Inc. Common Stock",A,down,-4.243
"IDEXX Laboratories, Inc. - Common Stock",IDXX,down,-4.191
"Match Group, Inc. - Common Stock",MTCH,down,-3.964
"EPAM Systems, Inc. Common Stock",EPAM,down,-3.691
Marathon Oil Corporation Common Stock,MRO,up,4.302
Devon Energy Corporation Common Stock,DVN,up,3.448
"Cardinal Health, Inc. Common Stock",CAH,up,2.965
"Darden Restaurants, Inc. Common Stock",DRI,up,2.924
"Diamondback Energy, Inc. - Commmon Stock",FANG,up,2.909
"EOG Resources, Inc. Common Stock",EOG,up,2.860
APA Corporation - Common Stock,APA,up,2.654
Pioneer Natural Resources Company Common Stock,PXD,up,2.321
"CF Industries Holdings, Inc. Common Stock",CF,up,2.293
Nucor Corporation Common Stock,NUE,up,2.277
TeraWulf Inc. - Common Stock,WULF,down,-29.695
Veru Inc. - Common Stock,VERU,down,-20.928
"Blue Water Vaccines, Inc. - Common Stock",BWV,down,-18.489
BriaCell Therapeutics Corp. - Common Shares,BCTX,down,-16.267
"Zentalis Pharmaceuticals, Inc. - common stock",ZNTL,down,-14.798
Integrated Media Technology Limited - Ordinary Shares,IMTE,down,-13.813
Bicycle Therapeutics plc - American Depositary Shares,BCYC,down,-12.669
"Fulcrum Therapeutics, Inc. - Common Stock",FULC,down,-10.948
Bilibili Inc. - American Depositary Shares,BILI,down,-10.355
"Castle Biosciences, Inc. - Common stock",CSTL,down,-10.268
Singularity Future Technology Ltd. - Common Stock,SGLY,up,22.881
"Ramaco Resources, Inc. - Common Stock",METC,up,12.696
"KLX Energy Services Holdings, Inc.  - Common Stock",KLXE,up,9.981
Gogo Inc. - Common Stock,GOGO,up,9.134
"C4 Therapeutics, Inc. - Common Stock",CCCC,up,8.989
"Chimerix, Inc. - Common Stock",CMRX,up,7.527
AdaptHealth Corp.  - Common Stock,AHCO,up,7.495
ZimVie Inc. - Common Stock,ZIMV,up,7.331
"Silicon Motion Technology Corporation - American Depositary Shares, each represe",SIMO,up,7.217
Alpha Tau Medical Ltd. - Ordinary Shares,DRTS,up,7.129
