description,Exchange,Earnings Per Share (Growth %),Beta,P/E Ratio,High-52,Low-52,Market Cap,Market Cap Float,Dividend Pay: ,Dividend Pay Date:,Net Profit Margin (TTM)
"Cisco Systems, Inc. - Common Stock",NASDAQ,17.62298,0.9541,18.91449,64.285,50.1,219672.4,4151.281,0.38,2022-04-27 00:00:00.000,22.93934
Visa Inc.,NYSE,28.84196,0.92681,42.66746,252.67,186.67,450291.4,1651.88,0.375,2022-03-01 00:00:00.000,51.59163
JP Morgan Chase & Co. Common Stock,NYSE,0.0,1.09604,8.66771,172.96,127.27,390989.4,2912.865,1.0,2022-04-30 00:00:00.000,39.73234
Microsoft Corporation - Common Stock,NASDAQ,22.3343,0.92308,30.34955,349.67,238.07,2138556.0,7481.118,0.62,2022-06-09 00:00:00.000,38.49856
American Express Company Common Stock,NYSE,24.45478,1.10242,17.76848,199.55,140.68,134471.8,756.3354,0.52,2022-05-10 00:00:00.000,18.81507
"Merck & Company, Inc. Common Stock (new)",NYSE,245.6801,0.45456,17.80298,91.4,15.32,219031.2,2526.247,0.69,2022-04-07 00:00:00.000,25.37369
3M Company Common Stock,NYSE,0.0,0.96509,14.84284,208.95,139.74,85444.09,568.4538,1.49,2022-03-12 00:00:00.000,16.74162
UnitedHealth Group Incorporated Common Stock (DE),NYSE,85.00415,0.86998,29.72616,548.97,374.03,505676.8,935.6622,1.45,2022-03-22 00:00:00.000,6.16557
Amgen Inc. - Common Stock,NASDAQ,21.75482,0.58345,24.33059,261.0,198.64,133910.6,532.4592,1.94,2022-06-08 00:00:00.000,22.68371
"Goldman Sachs Group, Inc. (The) Common Stock",NYSE,0.0,1.45454,5.40443,426.1582,308.2,108392.8,336.1528,2.0,2022-03-30 00:00:00.000,33.29025
Chevron Corporation Common Stock,NYSE,856.1609,1.13031,20.35222,174.76,92.86,325302.6,1946.841,1.42,2022-03-10 00:00:00.000,10.06479
Dow Inc. Common Stock,NYSE,41.06212,0.0,7.38961,71.38,52.07,45579.54,734.6985,0.7,2022-03-11 00:00:00.000,11.65223
Coca-Cola Company (The) Common Stock,NYSE,65.03241,0.65259,28.34501,64.3,52.28,276616.0,4305.989,0.44,2022-04-01 00:00:00.000,25.36282
Apple Inc. - Common Stock,NASDAQ,24.76506,1.19726,27.51837,182.94,122.25,2704947.0,16308.0,0.22,2022-02-10 00:00:00.000,26.57914
Honeywell International Inc. - Common Stock,NASDAQ,7.25257,1.12768,23.92014,236.86,174.42,129741.1,684.8431,0.98,2022-03-11 00:00:00.000,16.31193
Boeing Company (The) Common Stock,NYSE,51.88268,1.41811,0.0,258.3957,167.58,103335.1,589.8143,2.055,2020-03-06 00:00:00.000,0.0
"Caterpillar, Inc. Common Stock",NYSE,201.8773,0.95098,18.35088,246.69,179.67,115778.6,534.8172,1.11,2022-02-18 00:00:00.000,12.60717
CarMax Inc,NYSE,15.13375,1.43673,14.22928,155.98,94.35,16680.51,161.18,0.0, ,4.08948
"Catalent, Inc. Common Stock",NYSE,16.11235,1.38902,32.86585,142.64,91.17,19175.66,178.6631,0.0, ,13.47608
"Twitter, Inc. Common Stock",NYSE,0.0,0.76809,0.0,73.34,31.3,37638.14,780.1086,0.0, ,0.0
"Bio-Rad Laboratories, Inc. Class A Common Stock",NYSE,0.0,0.90334,4.20993,832.7,524.19,17651.14,21.51701,0.0, ,145.281
Generac Holdlings Inc. Common Stock,NYSE,13.85074,1.0123,32.37405,524.31,251.7436,17693.58,62.78654,0.0, ,14.89274
"Etsy, Inc. - Common Stock",NASDAQ,0.0,1.64427,34.8476,307.75,109.38,14890.8,126.153,0.0, ,20.96729
"Agilent Technologies, Inc. Common Stock",NYSE,0.20922,1.05383,33.31421,179.57,123.06,39392.88,299.3933,0.21,2022-04-27 00:00:00.000,18.69666
"IDEXX Laboratories, Inc. - Common Stock",NASDAQ,0.0,1.01576,59.80392,706.95,460.36,43328.61,83.42249,0.0, ,23.16518
"Match Group, Inc. - Common Stock",NASDAQ,0.0,0.58196,116.1853,182.0,84.2,27516.81,276.7326,0.0, ,9.25308
"EPAM Systems, Inc. Common Stock",NYSE,64.9335,1.80542,37.45515,725.4,168.5925,17369.0,54.99028,0.0, ,12.81622
Marathon Oil Corporation Common Stock,NYSE,295.2152,2.7596,20.85073,26.4,9.7,18122.11,716.5651,0.07,2022-03-10 00:00:00.000,17.24389
Devon Energy Corporation Common Stock,NYSE,1185.655,2.78515,14.35256,63.26,20.14,39871.93,628.9814,1.0,2022-03-31 00:00:00.000,23.77077
"Cardinal Health, Inc. Common Stock",NYSE,0.0,0.90141,32.11225,62.75,45.85,17006.03,275.8557,0.4908,2022-04-15 00:00:00.000,0.3246
"Darden Restaurants, Inc. Common Stock",NYSE,97.56025,1.41239,15.90558,164.277,116.035,15783.88,121.1902,1.1,2022-05-02 00:00:00.000,11.19672
"Diamondback Energy, Inc. - Commmon Stock",NASDAQ,218.8617,2.2895,11.10449,147.99,65.9304,23970.54,176.481,0.6,2022-03-11 00:00:00.000,33.48536
"EOG Resources, Inc. Common Stock",NYSE,483.7547,1.77953,15.18975,127.945,62.81,71031.16,583.0597,0.75,2022-04-29 00:00:00.000,25.04161
APA Corporation - Common Stock,NASDAQ,3877.097,4.41611,15.72533,43.88,15.545,14248.3,329.2465,0.125,2022-05-23 00:00:00.000,16.44333
Pioneer Natural Resources Company Common Stock,NYSE,1726.532,1.60603,29.95513,260.0,133.73,59868.48,241.4673,0.78,2022-03-14 00:00:00.000,11.85227
"CF Industries Holdings, Inc. Common Stock",NYSE,707.7117,1.01988,25.22462,110.4,43.185,22385.62,208.2787,0.3,2022-02-28 00:00:00.000,19.27195
Nucor Corporation Common Stock,NYSE,506.7953,1.33985,6.50628,157.69,75.6,41069.42,267.5457,0.5,2022-05-11 00:00:00.000,19.52193
TeraWulf Inc. - Common Stock,NASDAQ,0.0,0.84447,0.0,43.98,4.03,793.5168,31.8313,0.0, ,0.0
Veru Inc. - Common Stock,NASDAQ,0.0,0.21958,0.0,14.57,4.34,983.0183,60.00035,0.0, ,0.0
"Blue Water Vaccines, Inc. - Common Stock",NASDAQ,0.0,0.0,0.0,90.9,8.01,88.94113,4.23739,0.0, ,0.0
BriaCell Therapeutics Corp. - Common Shares,NASDAQ,0.0,0.0,34.0,12.47,2.8149,0.0,0.0,0.0, ,0.0
"Zentalis Pharmaceuticals, Inc. - common stock",NASDAQ,0.0,0.0,0.0,87.19,29.09,1422.47,41.51201,0.0, ,0.0
Integrated Media Technology Limited - Ordinary Shares,NASDAQ,0.0,2.92252,14.53521,38.478,3.305,64.52632,6.91158,0.0, ,29.35707
Bicycle Therapeutics plc - American Depositary Shares,NASDAQ,25.05318,0.0,0.0,62.075,26.39,852.7361,4.33333,0.0, ,0.0
"Fulcrum Therapeutics, Inc. - Common Stock",NASDAQ,10.13652,0.0,0.0,33.0975,6.85,746.0993,37.45373,0.0, ,0.0
Bilibili Inc. - American Depositary Shares,NASDAQ,0.0,1.27857,0.0,129.24,14.93,10594.74,290.3884,0.0, ,0.0
"Castle Biosciences, Inc. - Common stock",NASDAQ,0.0,0.0,0.0,78.92,30.56,785.6958,23.11302,0.0, ,0.0
Singularity Future Technology Ltd. - Common Stock,NASDAQ,0.0,0.47029,0.0,19.86,2.09,155.6208,20.12185,0.0, ,0.0
"Ramaco Resources, Inc. - Common Stock",NASDAQ,472.5849,1.11104,17.1668,21.73,3.83,678.2683,31.24589,0.1129,2022-03-15 00:00:00.000,14.02958
"KLX Energy Services Holdings, Inc.  - Common Stock",NASDAQ,0.0,2.41726,0.0,15.55,2.94,54.595,6.17158,0.0, ,0.0
Gogo Inc. - Common Stock,NASDAQ,628.4033,1.03959,42.77823,22.27,9.61,2318.467,80.29201,0.0, ,46.64329
"C4 Therapeutics, Inc. - Common Stock",NASDAQ,0.0,0.0,0.0,51.21,7.96,390.3983,42.56179,0.0, ,0.0
"Chimerix, Inc. - Common Stock",NASDAQ,0.0,1.3358,0.0,9.29,4.56,404.6787,82.94841,0.0, ,0.0
AdaptHealth Corp.  - Common Stock,NASDAQ,106.4554,0.28882,14.75138,38.03,13.95,2036.75,87.71695,0.0, ,6.4433
ZimVie Inc. - Common Stock,NASDAQ,0.0,0.0,0.0,50.395,21.52,624.4357,26.08323,0.0, ,0.0
"Silicon Motion Technology Corporation - American Depositary Shares, each represe",NASDAQ,4362.745,1.18498,12.29815,96.89,58.86,2453.493,30.19301,0.3,2022-05-11 00:00:00.000,21.6842
