ticker: ['CSCO', 'V', 'MRK', 'AXP', 'MSFT']
Day,Open,Close,High,Low,Volume,SYM,Date
0,61.595,62.37,62.43,61.44,22804164,$CSCO,01/11/22-2022
1,62.4,62.12,62.8175,61.9201,13405377,$CSCO,01/12/22-2022
2,62.08,61.5,62.15,61.21,14871644,$CSCO,01/13/22-2022
3,61.4722,61.36,61.5,60.94,18832053,$CSCO,01/14/22-2022
4,59.98,59.73,60.22,59.49,26550560,$CSCO,01/18/22-2022
5,57.995,58.9,59.49,57.78,24333873,$CSCO,01/19/22-2022
6,58.99,58.08,59.34,58.02,17726476,$CSCO,01/20/22-2022
7,58.07,56.68,58.34,56.61,25913972,$CSCO,01/21/22-2022
8,56.16,56.9,57.0,54.87,34191535,$CSCO,01/24/22-2022
9,56.09,56.11,56.6851,55.07,25156433,$CSCO,01/25/22-2022
10,56.11,55.33,56.45,54.855,28632685,$CSCO,01/26/22-2022
11,55.51,54.62,56.53,54.4,25967391,$CSCO,01/27/22-2022
12,54.5,55.61,55.66,53.445,30976580,$CSCO,01/28/22-2022
13,55.43,55.67,55.86,54.87,29925295,$CSCO,01/31/22-2022
14,55.45,55.37,55.5,54.735,22438472,$CSCO,02/01/22-2022
15,55.225,56.17,56.315,55.17,23316715,$CSCO,02/02/22-2022
16,55.87,55.2,56.15,55.06,19260467,$CSCO,02/03/22-2022
17,54.8935,55.15,55.62,54.39,19675873,$CSCO,02/04/22-2022
18,55.33,55.17,55.53,54.695,14450184,$CSCO,02/07/22-2022
19,55.06,55.34,55.49,54.71,15219936,$CSCO,02/08/22-2022
20,55.82,56.29,56.38,55.4826,19136723,$CSCO,02/09/22-2022
21,55.24,54.87,56.025,54.74,19730640,$CSCO,02/10/22-2022
22,54.87,53.9,55.09,53.77,20132500,$CSCO,02/11/22-2022
23,53.41,53.18,53.65,52.7,21868416,$CSCO,02/14/22-2022
24,53.7159,54.27,54.3,53.64,17680363,$CSCO,02/15/22-2022
25,54.13,54.25,54.44,53.385,20388673,$CSCO,02/16/22-2022
26,55.5,55.77,57.06,55.4,32884672,$CSCO,02/17/22-2022
27,55.46,57.21,57.69,55.38,35626154,$CSCO,02/18/22-2022
28,56.93,56.3,57.14,55.735,25188344,$CSCO,02/22/22-2022
29,56.61,54.44,56.99,54.37,22033657,$CSCO,02/23/22-2022
30,54.07,54.73,54.83,53.21,27739339,$CSCO,02/24/22-2022
31,54.98,56.04,56.22,54.49,18963683,$CSCO,02/25/22-2022
32,55.41,55.77,56.0,54.75,23868699,$CSCO,02/28/22-2022
33,55.53,54.62,55.85,54.26,17799613,$CSCO,03/01/22-2022
34,54.77,56.15,56.38,54.71,18660045,$CSCO,03/02/22-2022
35,56.74,56.07,57.0,55.835,16794589,$CSCO,03/03/22-2022
36,55.67,56.51,56.895,55.25,16731553,$CSCO,03/04/22-2022
37,56.31,55.59,56.44,55.52,21350920,$CSCO,03/07/22-2022
38,55.7,54.4,55.86,54.0701,23642377,$CSCO,03/08/22-2022
39,55.64,55.92,56.245,55.25,19150856,$CSCO,03/09/22-2022
40,54.4,54.71,55.16,53.97,18550934,$CSCO,03/10/22-2022
41,55.29,54.69,56.21,54.6,20330307,$CSCO,03/11/22-2022
42,54.73,54.3,55.4,53.995,17977522,$CSCO,03/14/22-2022
43,54.42,55.6,55.725,54.42,18829100,$CSCO,03/15/22-2022
44,55.93,55.81,56.0,54.6,21821806,$CSCO,03/16/22-2022
45,55.49,56.17,56.3,55.35,18830686,$CSCO,03/17/22-2022
46,56.03,55.97,56.42,55.54,51807230,$CSCO,03/18/22-2022
47,56.06,56.0,56.545,55.52,29174578,$CSCO,03/21/22-2022
48,56.36,56.17,56.72,56.09,29287852,$CSCO,03/22/22-2022
49,55.9,54.48,56.09,54.45,19742131,$CSCO,03/23/22-2022
50,54.67,54.5,54.69,53.68,20551509,$CSCO,03/24/22-2022
51,54.605,54.97,55.18,54.395,18092381,$CSCO,03/25/22-2022
52,54.8,55.14,55.16,54.42,17164623,$CSCO,03/28/22-2022
53,55.67,55.67,56.3138,55.04,20036473,$CSCO,03/29/22-2022
