TSLA Apr 22 2022 1040 Call (Weekly),"Tesla, Inc.  - Common Stock",1040.0,True,1067.11,1067.6899,23.75,22.85,23.5,0.653,0.01,-4.27,0.264,9.66,53.986,29.0,2022-04-21 14:53:38,2022-04-22 20:00:00
TSLA Apr 22 2022 1045 Call (Weekly),"Tesla, Inc.  - Common Stock",1045.0,True,1067.11,1067.6899,20.3,19.75,20.3,0.604,0.01,-4.413,0.275,11.61,53.514,29.0,2022-04-21 14:53:38,2022-04-22 20:00:00
TSLA Apr 22 2022 1050 Call (Weekly),"Tesla, Inc.  - Common Stock",1050.0,True,1067.11,1067.6899,17.4,17.0,17.425,0.552,0.01,-4.51,0.283,13.46,53.317,29.0,2022-04-21 14:53:38,2022-04-22 20:00:00
TSLA Apr 22 2022 1055 Call (Weekly),"Tesla, Inc.  - Common Stock",1055.0,False,1067.11,1067.6899,14.75,14.35,14.75,0.5,0.011,-4.513,0.285,14.55,52.914,29.0,2022-04-21 14:53:38,2022-04-22 20:00:00
TSLA Apr 22 2022 1060 Call (Weekly),"Tesla, Inc.  - Common Stock",1060.0,False,1067.11,1067.6899,12.45,12.1,12.475,0.448,0.01,-4.479,0.283,12.35,52.993,29.0,2022-04-21 14:53:38,2022-04-22 20:00:00
TSLA Apr 22 2022 1065 Call (Weekly),"Tesla, Inc.  - Common Stock",1065.0,False,1067.11,1067.6899,10.4,10.25,10.45,0.397,0.01,-4.368,0.275,10.67,53.047,29.0,2022-04-21 14:53:38,2022-04-22 20:00:00
TSLA Apr 29 2022 1040 Call (Weekly),"Tesla, Inc.  - Common Stock",1040.0,True,1067.11,1067.6899,40.45,40.0,40.374,0.585,0.005,-1.863,0.633,26.71,50.705,29.0,2022-04-21 14:53:38,2022-04-29 20:00:00
TSLA Apr 29 2022 1045 Call (Weekly),"Tesla, Inc.  - Common Stock",1045.0,True,1067.11,1067.6899,37.6,36.95,37.549,0.561,0.005,-1.877,0.641,29.46,50.53,29.0,2022-04-21 14:53:38,2022-04-29 20:00:00
TSLA Apr 29 2022 1050 Call (Weekly),"Tesla, Inc.  - Common Stock",1050.0,True,1067.11,1067.6899,34.9,34.5,34.874,0.537,0.005,-1.886,0.646,30.96,50.401,29.0,2022-04-21 14:53:38,2022-04-29 20:00:00
TSLA Apr 29 2022 1055 Call (Weekly),"Tesla, Inc.  - Common Stock",1055.0,False,1067.11,1067.6899,32.35,31.85,32.275,0.513,0.005,-1.885,0.648,32.68,50.202,29.0,2022-04-21 14:53:38,2022-04-29 20:00:00
TSLA Apr 29 2022 1060 Call (Weekly),"Tesla, Inc.  - Common Stock",1060.0,False,1067.11,1067.6899,29.9,29.5,29.85,0.488,0.005,-1.88,0.648,30.03,50.084,29.0,2022-04-21 14:53:38,2022-04-29 20:00:00
TSLA Apr 29 2022 1065 Call (Weekly),"Tesla, Inc.  - Common Stock",1065.0,False,1067.11,1067.6899,27.6,27.15,27.575,0.464,0.005,-1.87,0.646,27.6,50.01,29.0,2022-04-21 14:53:38,2022-04-29 20:00:00
TSLA May 6 2022 1040 Call (Weekly),"Tesla, Inc.  - Common Stock",1040.0,True,1067.11,1067.6899,53.3,51.8,52.82,0.573,0.003,-1.441,0.857,41.71,52.083,29.0,2022-04-21 14:53:38,2022-05-06 20:00:00
TSLA May 6 2022 1045 Call (Weekly),"Tesla, Inc.  - Common Stock",1045.0,True,1067.11,1067.6899,50.6,49.1,50.17,0.556,0.003,-1.45,0.863,42.44,52.035,29.0,2022-04-21 14:53:38,2022-05-06 20:00:00
TSLA May 6 2022 1050 Call (Weekly),"Tesla, Inc.  - Common Stock",1050.0,True,1067.11,1067.6899,47.95,46.45,47.495,0.538,0.004,-1.452,0.868,42.96,51.856,29.0,2022-04-21 14:53:38,2022-05-06 20:00:00
TSLA May 6 2022 1055 Call (Weekly),"Tesla, Inc.  - Common Stock",1055.0,False,1067.11,1067.6899,45.4,44.0,44.975,0.521,0.004,-1.453,0.871,44.5,51.755,29.0,2022-04-21 14:53:38,2022-05-06 20:00:00
TSLA May 6 2022 1060 Call (Weekly),"Tesla, Inc.  - Common Stock",1060.0,False,1067.11,1067.6899,42.9,41.9,42.55,0.503,0.004,-1.452,0.872,42.9,51.663,29.0,2022-04-21 14:53:38,2022-05-06 20:00:00
TSLA May 6 2022 1065 Call (Weekly),"Tesla, Inc.  - Common Stock",1065.0,False,1067.11,1067.6899,40.55,39.25,40.2,0.485,0.004,-1.447,0.871,42.05,51.557,29.0,2022-04-21 14:53:38,2022-05-06 20:00:00
TSLA May 13 2022 1040 Call (Weekly),"Tesla, Inc.  - Common Stock",1040.0,True,1067.11,1067.6899,62.95,61.25,62.491,0.57,0.003,-1.215,1.033,49.98,52.498,29.0,2022-04-21 14:53:38,2022-05-13 20:00:00
TSLA May 13 2022 1045 Call (Weekly),"Tesla, Inc.  - Common Stock",1045.0,True,1067.11,1067.6899,60.25,58.35,59.566,0.556,0.003,-1.214,1.039,58.46,52.139,29.0,2022-04-21 14:53:38,2022-05-13 20:00:00
TSLA May 13 2022 1050 Call (Weekly),"Tesla, Inc.  - Common Stock",1050.0,True,1067.11,1067.6899,57.65,55.9,56.99,0.541,0.003,-1.216,1.043,54.12,52.049,29.0,2022-04-21 14:53:38,2022-05-13 20:00:00
TSLA May 13 2022 1055 Call (Weekly),"Tesla, Inc.  - Common Stock",1055.0,False,1067.11,1067.6899,55.1,53.5,54.64,0.526,0.003,-1.221,1.046,58.5,52.104,29.0,2022-04-21 14:53:38,2022-05-13 20:00:00
TSLA May 13 2022 1060 Call (Weekly),"Tesla, Inc.  - Common Stock",1060.0,False,1067.11,1067.6899,52.6,51.0,52.125,0.512,0.003,-1.218,1.048,52.18,51.932,29.0,2022-04-21 14:53:38,2022-05-13 20:00:00
TSLA May 13 2022 1065 Call (Weekly),"Tesla, Inc.  - Common Stock",1065.0,False,1067.11,1067.6899,50.25,48.15,49.8,0.497,0.003,-1.217,1.049,50.15,51.874,29.0,2022-04-21 14:53:38,2022-05-13 20:00:00
TSLA May 20 2022 1040 Call,"Tesla, Inc.  - Common Stock",1040.0,True,1067.11,1067.6899,70.6,69.95,70.517,0.568,0.002,-1.065,1.182,56.41,52.67,29.0,2022-04-21 14:53:38,2022-05-20 20:00:00
TSLA May 20 2022 1045 Call,"Tesla, Inc.  - Common Stock",1045.0,True,1067.11,1067.6899,67.9,67.3,67.842,0.556,0.003,-1.067,1.188,60.41,52.531,29.0,2022-04-21 14:53:38,2022-05-20 20:00:00
