Id, Open, Close, High, Low, Volume, Name, Date
0,74.122,72.15,74.2,70.82,41105190,$TSLA,06/29/17-2017
1,72.742,72.322,73.35348,71.92374,29242605,$TSLA,06/30/17-2017
2,74.048,70.524,74.27,70.3,0,$TSLA,07/03/17-2017
3,69.44,65.418,69.448,65.266,85233505,$TSLA,07/05/17-2017
4,63.452,61.766,64.15798,61.26,96622475,$TSLA,07/06/17-2017
5,62.7,62.644,63.4,61.476,70884575,$TSLA,07/07/17-2017
6,62.58,63.21,63.588,60.626,69104445,$TSLA,07/10/17-2017
7,63.2,65.444,65.456,62.86,57797010,$TSLA,07/11/17-2017
8,66.08,65.904,66.62,64.9,51730635,$TSLA,07/12/17-2017
9,66.022,64.682,66.32,63.994,42972330,$TSLA,07/13/17-2017
10,64.638,65.556,65.684,64.244,28126055,$TSLA,07/14/17-2017
11,65.108,63.914,65.42,62.69,49384560,$TSLA,07/17/17-2017
12,63.5,65.648,65.826,63.132,31868600,$TSLA,07/18/17-2017
13,65.646,65.052,66.33,64.64386,31785070,$TSLA,07/19/17-2017
14,65.38,65.984,66.044,64.84,25830940,$TSLA,07/20/17-2017
15,65.892,65.68,66.2515,65.16,24508030,$TSLA,07/21/17-2017
16,66.048,68.504,68.6798,66.002,43185410,$TSLA,07/24/17-2017
17,69.0,67.92,69.12,66.83,34945985,$TSLA,07/25/17-2017
18,68.072,68.77,69.1,67.624,24103950,$TSLA,07/26/17-2017
19,69.2,66.892,69.5,65.258,41512025,$TSLA,07/27/17-2017
20,67.378,67.014,67.92,66.502,24402070,$TSLA,07/28/17-2017
21,67.1,64.694,68.298,64.208,42675680,$TSLA,07/31/17-2017
22,64.6,63.914,64.89,63.226,41515510,$TSLA,08/01/17-2017
23,63.788,65.178,65.424,62.244,65457310,$TSLA,08/02/17-2017
24,69.066,69.418,70.0,68.63,67675165,$TSLA,08/03/17-2017
25,69.4,71.382,71.454,68.66,46344545,$TSLA,08/04/17-2017
26,71.47,71.034,71.896,70.55,31622400,$TSLA,08/07/17-2017
27,71.506,73.044,73.716,71.48,37249185,$TSLA,08/08/17-2017
28,72.2,72.706,74.0,71.79,34460480,$TSLA,08/09/17-2017
29,72.32,71.08,73.33008,70.932,35464290,$TSLA,08/10/17-2017
30,71.394,71.574,72.252,70.724,21828915,$TSLA,08/11/17-2017
31,72.926,72.76,73.532,72.52,22595930,$TSLA,08/14/17-2017
32,73.04,72.466,73.098,71.874,15425440,$TSLA,08/15/17-2017
33,72.6,72.582,73.3,72.504,17068865,$TSLA,08/16/17-2017
34,72.242,70.384,72.66,70.318,25138300,$TSLA,08/17/17-2017
35,70.582,69.492,70.8,69.16,27040915,$TSLA,08/18/17-2017
36,69.164,67.572,69.164,66.37,32477120,$TSLA,08/21/17-2017
37,68.226,68.27,68.448,67.4745,21609830,$TSLA,08/22/17-2017
38,67.798,70.554,70.698,67.66082,24772520,$TSLA,08/23/17-2017
39,70.504,70.586,71.332,69.948,22923435,$TSLA,08/24/17-2017
40,70.848,69.61,71.138,69.46,17419780,$TSLA,08/25/17-2017
41,69.456,69.132,69.47,67.944,18819780,$TSLA,08/28/17-2017
42,67.896,69.472,69.81,67.75,20368375,$TSLA,08/29/17-2017
43,69.934,70.636,70.694,69.4,17064715,$TSLA,08/30/17-2017
44,70.71,71.18,71.688,70.564,20363975,$TSLA,08/31/17-2017
45,71.224,71.08,71.518,70.73804,15247730,$TSLA,09/01/17-2017
46,70.76,69.918,71.098,69.178,19241910,$TSLA,09/05/17-2017
47,69.9,68.906,70.1958,68.312,20456755,$TSLA,09/06/17-2017
48,69.196,70.122,70.496,68.69,21196065,$TSLA,09/07/17-2017
49,69.798,68.68,69.956,68.46,16317540,$TSLA,09/08/17-2017
50,70.27,72.738,72.742,70.0,38335275,$TSLA,09/11/17-2017
51,72.898,72.55,73.752,72.08,29864535,$TSLA,09/12/17-2017
52,72.764,73.246,73.614,71.918,20926155,$TSLA,09/13/17-2017
53,72.866,75.528,75.592,72.526,36012620,$TSLA,09/14/17-2017
54,74.902,75.962,76.0,74.54,27102480,$TSLA,09/15/17-2017
55,76.05,77.0,77.922,75.536,35939900,$TSLA,09/18/17-2017
56,76.0,75.02,76.478,74.714,32259430,$TSLA,09/19/17-2017
57,74.6,74.782,75.6498,74.214,24595260,$TSLA,09/20/17-2017
58,74.98,73.296,75.366,72.902,23090950,$TSLA,09/21/17-2017
59,73.298,70.218,73.97998,70.176,40797090,$TSLA,09/22/17-2017
60,70.63,68.998,71.4938,68.576,38029730,$TSLA,09/25/17-2017
61,70.186,69.05,70.248,68.18,35781370,$TSLA,09/26/17-2017
62,69.98,68.194,70.2978,68.1,30301650,$TSLA,09/27/17-2017
63,67.976,67.92,68.55,67.08,26598085,$TSLA,09/28/17-2017
64,68.372,68.22,68.936,67.7202,25535410,$TSLA,09/29/17-2017
65,68.504,68.306,68.74,67.102,26433870,$TSLA,10/02/17-2017
66,67.18,69.628,69.71,66.256,50767980,$TSLA,10/03/17-2017
67,70.25,71.002,71.724,69.92,40817715,$TSLA,10/04/17-2017
68,71.2,71.066,71.487,70.27,20858375,$TSLA,10/05/17-2017
69,70.62,71.376,72.01984,70.45,21487370,$TSLA,10/06/17-2017
70,69.93,68.588,70.35,68.534,37468270,$TSLA,10/09/17-2017
71,69.36,71.118,71.126,69.1061,34892475,$TSLA,10/10/17-2017
72,70.778,70.92,71.52,70.23,22504155,$TSLA,10/11/17-2017
73,70.59,71.136,71.956,70.528,20435240,$TSLA,10/12/17-2017
74,71.396,71.114,71.698,70.736,17702665,$TSLA,10/13/17-2017
75,70.752,70.12,70.896,69.432,26877430,$TSLA,10/16/17-2017
76,70.182,71.15,71.244,70.014,16466725,$TSLA,10/17/17-2017
77,71.194,71.93,72.6,70.826,24695370,$TSLA,10/18/17-2017
78,71.112,70.362,71.4293,69.64,25309215,$TSLA,10/19/17-2017
79,70.538,69.02,70.91,68.868,24651975,$TSLA,10/20/17-2017
80,69.976,67.404,69.99,67.25,28736730,$TSLA,10/23/17-2017
81,67.76,67.468,68.56,67.232,22458360,$TSLA,10/24/17-2017
82,67.34,65.168,67.5,64.712,42970365,$TSLA,10/25/17-2017
83,65.556,65.234,66.046,64.64,25117500,$TSLA,10/26/17-2017
84,63.95,64.174,64.918,63.332,34898520,$TSLA,10/27/17-2017
85,63.836,64.016,64.756,63.45,21271890,$TSLA,10/30/17-2017
86,64.046,66.306,66.39,64.036,28361735,$TSLA,10/31/17-2017
87,66.45,64.216,66.52178,64.052,42286680,$TSLA,11/01/17-2017
88,60.026,59.852,61.738,58.526,98957080,$TSLA,11/02/17-2017
89,59.9,61.218,61.25,59.026,44469870,$TSLA,11/03/17-2017
90,61.4,60.556,61.5,59.802,32430045,$TSLA,11/06/17-2017
91,60.204,61.21,61.3,60.006,26471370,$TSLA,11/07/17-2017
