Desciption,Symbol,Direction,Change ( % ),Total Volume
"Walgreens Boots Alliance, Inc. - Common Stock",WBA,up,4.325,10560218
"Merck & Company, Inc. Common Stock (new)",MRK,up,3.288,21993951
Boeing Company (The) Common Stock,BA,up,1.626,8038963
Amgen Inc. - Common Stock,AMGN,up,1.362,1630296
Dow Inc. Common Stock,DOW,up,1.058,6425429
3M Company Common Stock,MMM,up,0.874,3734060
McDonald's Corporation Common Stock,MCD,up,0.755,4259516
"Caterpillar, Inc. Common Stock",CAT,up,0.631,3831515
Walmart Inc. Common Stock,WMT,up,0.591,5584382
"The Travelers Companies, Inc. Common Stock",TRV,up,0.382,1615813
"Moderna, Inc. - Common Stock",MRNA,up,3.436,3824155
"McCormick & Company, Incorporated Common Stock",MKC,up,3.295,3279864
Mosaic Company (The) Common Stock,MOS,up,3.192,4789080
The Kraft Heinz Company - Common Stock,KHC,up,3.149,11388231
Advance Auto Parts Inc.,AAP,up,3.056,1282669
"Old Dominion Freight Line, Inc. - Common Stock",ODFL,up,3.003,1304784
Kroger Company (The) Common Stock,KR,up,2.930,6980003
J.M. Smucker Company (The) New Common Stock,SJM,up,2.733,1071933
"Immunic, Inc.  - Common Stock",IMUX,up,56.566,41411216
Abeona Therapeutics Inc. - Common Stock,ABEO,up,13.603,41608
"Provention Bio, Inc. - Common Stock",PRVB,up,12.139,3314459
"Arcellx, Inc. - Common Stock",ACLX,up,10.012,295902
"Novavax, Inc. - Common Stock",NVAX,up,9.080,6905710
"DICE Therapeutics, Inc. - Common Stock",DICE,up,8.734,1092105
"LendingTree, Inc. - Common Stock",TREE,up,7.357,348580
"FingerMotion, Inc. - common stock",FNGR,up,7.046,7417368
"AlloVir, Inc. - Common Stock",ALVR,up,6.881,346158
Encore Wire Corporation - Common Stock,WIRE,up,6.465,271362
